model,strategy,batch_size,mtp,chip_k,chip_n,die_k,die_n,pu_k,pu_n,up_pu_B,up_pu_M,up_pu_K,up_pu_N,down_pu_K,down_pu_N,die_weight_bytes,fabric_ns,noc_input_ns,noc_output_ns,total_ns,collective_count,stages_json,selected,selection_reason
deepseek-v3,tp,4096,off,1,16,4,1,1,16,256,128,1792,16,8,1792,176160768,34408,253248,268288,555944,9,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":1835008,""critical_bytes"":27525120.0,""participants"":16,""parallel_links"":1,""duration_ns"":17204},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":16,""parallel_links"":1,""duration_ns"":229376},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":8388608.0,""participants"":2,""parallel_links"":1,""duration_ns"":32768},{""stage"":""tokens128.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":6291456.0,""participants"":4,""parallel_links"":4,""duration_ns"":6144},{""stage"":""tokens128.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":2097152,""critical_bytes"":6291456.0,""participants"":4,""parallel_links"":4,""duration_ns"":6144},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":16,""parallel_links"":1,""duration_ns"":229376},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":29360128,""critical_bytes"":27525120.0,""participants"":16,""parallel_links"":1,""duration_ns"":17204},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",False,alternative candidate
deepseek-v3,tp,4096,off,1,16,4,1,2,8,256,128,896,32,16,896,176160768,34408,253248,268288,555944,9,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":1835008,""critical_bytes"":27525120.0,""participants"":16,""parallel_links"":1,""duration_ns"":17204},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":2,""parallel_links"":1,""duration_ns"":229376},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":8388608.0,""participants"":2,""parallel_links"":1,""duration_ns"":32768},{""stage"":""tokens128.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":6291456.0,""participants"":4,""parallel_links"":4,""duration_ns"":6144},{""stage"":""tokens128.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":2097152,""critical_bytes"":6291456.0,""participants"":4,""parallel_links"":4,""duration_ns"":6144},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":8,""parallel_links"":1,""duration_ns"":229376},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":29360128,""critical_bytes"":27525120.0,""participants"":16,""parallel_links"":1,""duration_ns"":17204},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",True,"user-requested chip N16, intra-chip K8xN8 comparison"
deepseek-v3,tp,4096,off,1,16,4,1,4,4,256,128,448,64,32,448,176160768,34408,253248,268288,555944,9,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":1835008,""critical_bytes"":27525120.0,""participants"":16,""parallel_links"":1,""duration_ns"":17204},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":2,""parallel_links"":1,""duration_ns"":229376},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":8388608.0,""participants"":4,""parallel_links"":1,""duration_ns"":32768},{""stage"":""tokens128.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":6291456.0,""participants"":4,""parallel_links"":4,""duration_ns"":6144},{""stage"":""tokens128.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":2097152,""critical_bytes"":6291456.0,""participants"":4,""parallel_links"":4,""duration_ns"":6144},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":4,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":4,""parallel_links"":1,""duration_ns"":229376},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":29360128,""critical_bytes"":27525120.0,""participants"":16,""parallel_links"":1,""duration_ns"":17204},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",False,alternative candidate
deepseek-v3,tp,4096,off,1,16,4,1,8,2,256,128,224,128,64,224,176160768,34408,253248,268288,555944,9,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":1835008,""critical_bytes"":27525120.0,""participants"":16,""parallel_links"":1,""duration_ns"":17204},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":2,""parallel_links"":1,""duration_ns"":229376},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":8388608.0,""participants"":8,""parallel_links"":1,""duration_ns"":32768},{""stage"":""tokens128.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":6291456.0,""participants"":4,""parallel_links"":4,""duration_ns"":6144},{""stage"":""tokens128.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":2097152,""critical_bytes"":6291456.0,""participants"":4,""parallel_links"":4,""duration_ns"":6144},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":8,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":2,""parallel_links"":1,""duration_ns"":229376},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":29360128,""critical_bytes"":27525120.0,""participants"":16,""parallel_links"":1,""duration_ns"":17204},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",False,alternative candidate
deepseek-v3,tp,4096,off,1,16,4,1,16,1,256,128,112,256,128,112,176160768,34408,253248,268288,555944,9,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":1835008,""critical_bytes"":27525120.0,""participants"":16,""parallel_links"":1,""duration_ns"":17204},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":2,""parallel_links"":1,""duration_ns"":229376},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":8388608.0,""participants"":16,""parallel_links"":1,""duration_ns"":32768},{""stage"":""tokens128.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":6291456.0,""participants"":4,""parallel_links"":4,""duration_ns"":6144},{""stage"":""tokens128.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":2097152,""critical_bytes"":6291456.0,""participants"":4,""parallel_links"":4,""duration_ns"":6144},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":16,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":2,""parallel_links"":1,""duration_ns"":229376},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":29360128,""critical_bytes"":27525120.0,""participants"":16,""parallel_links"":1,""duration_ns"":17204},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",False,alternative candidate
deepseek-v3,tp,4096,off,2,8,1,4,1,16,256,128,3584,8,4,3584,176160768,19827,471872,561152,1052851,11,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":13762560.0,""participants"":16,""parallel_links"":1,""duration_ns"":8602},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":117440512,""critical_bytes"":117440512.0,""participants"":16,""parallel_links"":1,""duration_ns"":458752},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":1,""duration_ns"":2622},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":2097152,""critical_bytes"":2097152.0,""participants"":2,""parallel_links"":1,""duration_ns"":8192},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":117440512,""critical_bytes"":117440512.0,""participants"":16,""parallel_links"":1,""duration_ns"":458752},{""stage"":""tokens128.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":117440512,""critical_bytes"":88080384.0,""participants"":4,""parallel_links"":4,""duration_ns"":86016},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":14680064,""critical_bytes"":12845056.0,""participants"":8,""parallel_links"":1,""duration_ns"":8029},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":574},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":3584},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",False,alternative candidate
deepseek-v3,tp,4096,off,2,8,1,4,2,8,256,128,1792,16,8,1792,176160768,19827,471872,561152,1052851,11,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":13762560.0,""participants"":16,""parallel_links"":1,""duration_ns"":8602},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":117440512,""critical_bytes"":117440512.0,""participants"":2,""parallel_links"":1,""duration_ns"":458752},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":1,""duration_ns"":2622},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":2097152,""critical_bytes"":2097152.0,""participants"":2,""parallel_links"":1,""duration_ns"":8192},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":117440512,""critical_bytes"":117440512.0,""participants"":8,""parallel_links"":1,""duration_ns"":458752},{""stage"":""tokens128.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":117440512,""critical_bytes"":88080384.0,""participants"":4,""parallel_links"":4,""duration_ns"":86016},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":14680064,""critical_bytes"":12845056.0,""participants"":8,""parallel_links"":1,""duration_ns"":8029},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":574},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":3584},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",False,alternative candidate
deepseek-v3,tp,4096,off,2,8,1,4,4,4,256,128,896,32,16,896,176160768,19827,471872,561152,1052851,11,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":13762560.0,""participants"":16,""parallel_links"":1,""duration_ns"":8602},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":117440512,""critical_bytes"":117440512.0,""participants"":2,""parallel_links"":1,""duration_ns"":458752},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":4,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":1,""duration_ns"":2622},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":2097152,""critical_bytes"":2097152.0,""participants"":4,""parallel_links"":1,""duration_ns"":8192},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":117440512,""critical_bytes"":117440512.0,""participants"":4,""parallel_links"":1,""duration_ns"":458752},{""stage"":""tokens128.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":117440512,""critical_bytes"":88080384.0,""participants"":4,""parallel_links"":4,""duration_ns"":86016},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":14680064,""critical_bytes"":12845056.0,""participants"":8,""parallel_links"":1,""duration_ns"":8029},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":574},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":3584},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",False,alternative candidate
deepseek-v3,tp,4096,off,2,8,1,4,8,2,256,128,448,64,32,448,176160768,19827,471872,561152,1052851,11,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":13762560.0,""participants"":16,""parallel_links"":1,""duration_ns"":8602},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":117440512,""critical_bytes"":117440512.0,""participants"":2,""parallel_links"":1,""duration_ns"":458752},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":8,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":1,""duration_ns"":2622},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":2097152,""critical_bytes"":2097152.0,""participants"":8,""parallel_links"":1,""duration_ns"":8192},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":117440512,""critical_bytes"":117440512.0,""participants"":2,""parallel_links"":1,""duration_ns"":458752},{""stage"":""tokens128.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":117440512,""critical_bytes"":88080384.0,""participants"":4,""parallel_links"":4,""duration_ns"":86016},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":14680064,""critical_bytes"":12845056.0,""participants"":8,""parallel_links"":1,""duration_ns"":8029},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":574},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":3584},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",False,alternative candidate
deepseek-v3,tp,4096,off,2,8,1,4,16,1,256,128,224,128,64,224,176160768,19827,471872,561152,1052851,11,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":13762560.0,""participants"":16,""parallel_links"":1,""duration_ns"":8602},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":117440512,""critical_bytes"":117440512.0,""participants"":2,""parallel_links"":1,""duration_ns"":458752},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":16,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":1,""duration_ns"":2622},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":2097152,""critical_bytes"":2097152.0,""participants"":16,""parallel_links"":1,""duration_ns"":8192},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":117440512,""critical_bytes"":117440512.0,""participants"":2,""parallel_links"":1,""duration_ns"":458752},{""stage"":""tokens128.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":117440512,""critical_bytes"":88080384.0,""participants"":4,""parallel_links"":4,""duration_ns"":86016},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":14680064,""critical_bytes"":12845056.0,""participants"":8,""parallel_links"":1,""duration_ns"":8029},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":574},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":3584},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",False,alternative candidate
deepseek-v3,tp,4096,off,2,8,2,2,1,16,256,128,1792,16,8,1792,176160768,22448,254784,294912,572144,13,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":13762560.0,""participants"":16,""parallel_links"":1,""duration_ns"":8602},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":16,""parallel_links"":1,""duration_ns"":229376},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":8388608.0,""participants"":2,""parallel_links"":1,""duration_ns"":32768},{""stage"":""tokens128.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":4,""duration_ns"":4096},{""stage"":""tokens128.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":4,""duration_ns"":4096},{""stage"":""tokens128.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":8388608,""critical_bytes"":8388608.0,""participants"":2,""parallel_links"":1,""duration_ns"":5243},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":16,""parallel_links"":1,""duration_ns"":229376},{""stage"":""tokens128.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":58720256,""critical_bytes"":29360128.0,""participants"":2,""parallel_links"":4,""duration_ns"":28672},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":14680064,""critical_bytes"":12845056.0,""participants"":8,""parallel_links"":1,""duration_ns"":8029},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":574},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":3584},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",False,alternative candidate
deepseek-v3,tp,4096,off,2,8,2,2,2,8,256,128,896,32,16,896,176160768,22448,254784,294912,572144,13,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":13762560.0,""participants"":16,""parallel_links"":1,""duration_ns"":8602},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":2,""parallel_links"":1,""duration_ns"":229376},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":8388608.0,""participants"":2,""parallel_links"":1,""duration_ns"":32768},{""stage"":""tokens128.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":4,""duration_ns"":4096},{""stage"":""tokens128.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":4,""duration_ns"":4096},{""stage"":""tokens128.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":8388608,""critical_bytes"":8388608.0,""participants"":2,""parallel_links"":1,""duration_ns"":5243},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":8,""parallel_links"":1,""duration_ns"":229376},{""stage"":""tokens128.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":58720256,""critical_bytes"":29360128.0,""participants"":2,""parallel_links"":4,""duration_ns"":28672},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":14680064,""critical_bytes"":12845056.0,""participants"":8,""parallel_links"":1,""duration_ns"":8029},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":574},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":3584},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",False,alternative candidate
deepseek-v3,tp,4096,off,2,8,2,2,4,4,256,128,448,64,32,448,176160768,22448,254784,294912,572144,13,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":13762560.0,""participants"":16,""parallel_links"":1,""duration_ns"":8602},{""stage"":""tokens128.up_input"",""direction"":""noc_input"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":2,""parallel_links"":1,""duration_ns"":229376},{""stage"":""tokens128.up_output"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":8388608.0,""participants"":4,""parallel_links"":1,""duration_ns"":32768},{""stage"":""tokens128.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":8388608,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":4,""duration_ns"":4096},{""stage"":""tokens128.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":2,""parallel_links"":4,""duration_ns"":4096},{""stage"":""tokens128.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":8388608,""critical_bytes"":8388608.0,""participants"":2,""parallel_links"":1,""duration_ns"":5243},{""stage"":""tokens128.down_input"",""direction"":""noc_input"",""size_bytes"":4194304,""critical_bytes"":4194304.0,""participants"":4,""parallel_links"":1,""duration_ns"":16384},{""stage"":""tokens128.down_output"",""direction"":""noc_output"",""size_bytes"":58720256,""critical_bytes"":58720256.0,""participants"":4,""parallel_links"":1,""duration_ns"":229376},{""stage"":""tokens128.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":58720256,""critical_bytes"":29360128.0,""participants"":2,""parallel_links"":4,""duration_ns"":28672},{""stage"":""exit_chip_reduce_scatter"",""direction"":""fabric"",""size_bytes"":14680064,""critical_bytes"":12845056.0,""participants"":8,""parallel_links"":1,""duration_ns"":8029},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":574},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":917504.0,""participants"":2,""parallel_links"":1,""duration_ns"":3584},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":458752,""critical_bytes"":1376256.0,""participants"":4,""parallel_links"":4,""duration_ns"":1344}]",False,alternative candidate
